,Title,Price,Link
0,"Samsung Galaxy Book4 (Gray, 16GB RAM, 512GB SSD) | 15.6"" Full HD Screen | Intel Core 5 120U Processor | Windows 11 Home | MS Office 2021 | Fingerprint Reader | Intel Iris XE Graphics | RJ45 LAN Port","59,999",https://amazon.in//sspa/click?ie=UTF8&spc=MTo1NzA2MjcwMDI3MzQ4NTM4OjE3MzUyNzgzMjY6c3BfYXRmX25leHQ6MzAwMzQyOTUwMjUzMDMyOjowOjo&url=%2FSamsung-Processor-Windows-Fingerprint-Graphics%2Fdp%2FB0CX4VRZJT%2Fref%3Dsr_1_33_sspa%3Fcrid%3D2MW5PS1STZ96S%26dib%3DeyJ2IjoiMSJ9.AMfoNDt7iHC7suJpGP8QSfqo0c5EaDaS88L4ZY2RWbZSByr7mhqqZ7Btf3PkhhYpH3rPoQo7K1OVzpYXcjdUx526gTo9U37OTE0hhwe-LBn9n8SmjV2_fbtpJBGVSjPorgareFlFKNAwLfNiL97q5PJjQNXKeExFXGvekQoIqQN_D-sM3BJu-85yhzvMLqo4wpOzU19SzZrHbSDckk20HiOunhlTEnqfQxu0XSIqlBc.LWhcj22sFsv3jX7v8fM8Z9s6jNz6p8k4BCxSCN8KgC0%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1735278326%26sprefix%3D%252Caps%252C265%26sr%3D8-33-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
1,"Dell Inspiron 3520 Laptop, 12th Gen Intel Core i5-1235U Processor, 8GB, 512GB SSD, 15.6"" (39.62Cms) FHD Display- 3 Side Narrow Border, Win 11 + MSO'21, 2 Tuned Speakers, Black, Thin & Light-1.65Kg","46,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo1NzA2MjcwMDI3MzQ4NTM4OjE3MzUyNzgzMjY6c3BfYXRmX25leHQ6MzAwMzQ3MjYwMDYyMjMyOjowOjo&url=%2FDell-Inspiron-i5-1235U-39-62Cms-D560865WIN9B%2Fdp%2FB0BH4SQPQL%2Fref%3Dsr_1_34_sspa%3Fcrid%3D2MW5PS1STZ96S%26dib%3DeyJ2IjoiMSJ9.AMfoNDt7iHC7suJpGP8QSfqo0c5EaDaS88L4ZY2RWbZSByr7mhqqZ7Btf3PkhhYpH3rPoQo7K1OVzpYXcjdUx526gTo9U37OTE0hhwe-LBn9n8SmjV2_fbtpJBGVSjPorgareFlFKNAwLfNiL97q5PJjQNXKeExFXGvekQoIqQN_D-sM3BJu-85yhzvMLqo4wpOzU19SzZrHbSDckk20HiOunhlTEnqfQxu0XSIqlBc.LWhcj22sFsv3jX7v8fM8Z9s6jNz6p8k4BCxSCN8KgC0%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1735278326%26sprefix%3D%252Caps%252C265%26sr%3D8-34-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
2,"ASUS TUF Gaming A15, AMD Ryzen 7 7435Hs, 15.6-Inch, FHD 144Hz, Gaming Laptop (16GB RAM/512GB SSD/NVIDIA Geforce RTX 3050/Windows 11/48WHR/Graphite Black/2.3 Kg), FA506NCR-HN054W","71,990",https://amazon.in//ASUS-15-6-inch-GeForce-Graphite-FA506NCR-HN054W/dp/B0D5DFR78J/ref=sr_1_39?crid=2MW5PS1STZ96S&dib=eyJ2IjoiMSJ9.AMfoNDt7iHC7suJpGP8QSfqo0c5EaDaS88L4ZY2RWbZSByr7mhqqZ7Btf3PkhhYpH3rPoQo7K1OVzpYXcjdUx526gTo9U37OTE0hhwe-LBn9n8SmjV2_fbtpJBGVSjPorgareFlFKNAwLfNiL97q5PJjQNXKeExFXGvekQoIqQN_D-sM3BJu-85yhzvMLqo4wpOzU19SzZrHbSDckk20HiOunhlTEnqfQxu0XSIqlBc.LWhcj22sFsv3jX7v8fM8Z9s6jNz6p8k4BCxSCN8KgC0&dib_tag=se&keywords=laptop&qid=1735278326&sprefix=%2Caps%2C265&sr=8-39
3,"Acer [Smartchoice Aspire Lite AMD Ryzen 3 5300U Premium Thin and Light Laptop (Windows 11 Home/8 GB RAM/512 GB SSD) AL15-41 with 39.62 cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.6 KG","26,990",https://amazon.in//Acer-Smartchoice-Premium-Windows-AL15-41/dp/B0CWTSF1TK/ref=sr_1_51?crid=2MW5PS1STZ96S&dib=eyJ2IjoiMSJ9.AMfoNDt7iHC7suJpGP8QSfqo0c5EaDaS88L4ZY2RWbZSByr7mhqqZ7Btf3PkhhYpH3rPoQo7K1OVzpYXcjdUx526gTo9U37OTE0hhwe-LBn9n8SmjV2_fbtpJBGVSjPorgareFlFKNAwLfNiL97q5PJjQNXKeExFXGvekQoIqQN_D-sM3BJu-85yhzvMLqo4wpOzU19SzZrHbSDckk20HiOunhlTEnqfQxu0XSIqlBc.LWhcj22sFsv3jX7v8fM8Z9s6jNz6p8k4BCxSCN8KgC0&dib_tag=se&keywords=laptop&qid=1735278338&sprefix=%2Caps%2C265&sr=8-51
4,"Dell {Smartchoice} G15-5530 Core i5-13450HX| NVIDIA RTX 3050, 6GB (16GB RAM|1TB SSD, FHD|Window 11|MS Office' 21|15.6"" (39.62cm)|Dark Shadow Grey|2.65Kg|Gaming Laptop","74,500",https://amazon.in//Dell-Smartchoice-G15-5530-Gaming-i5-13450HX/dp/B0CRKXDX83/ref=sr_1_52?crid=2MW5PS1STZ96S&dib=eyJ2IjoiMSJ9.AMfoNDt7iHC7suJpGP8QSfqo0c5EaDaS88L4ZY2RWbZSByr7mhqqZ7Btf3PkhhYpH3rPoQo7K1OVzpYXcjdUx526gTo9U37OTE0hhwe-LBn9n8SmjV2_fbtpJBGVSjPorgareFlFKNAwLfNiL97q5PJjQNXKeExFXGvekQoIqQN_D-sM3BJu-85yhzvMLqo4wpOzU19SzZrHbSDckk20HiOunhlTEnqfQxu0XSIqlBc.LWhcj22sFsv3jX7v8fM8Z9s6jNz6p8k4BCxSCN8KgC0&dib_tag=se&keywords=laptop&qid=1735278338&sprefix=%2Caps%2C265&sr=8-52
5,"Dell Inspiron 3530 Thin & Light Laptop, 13th Gen Intel Core i3-1305U/8GB/512GB SSD/15.6"" (39.62cm) 120Hz Refresh Rate on a FHD IPS Display/Windows 11 + MSO'21+McAfee 15 Month/Carbon Black/1.62kg","39,490",https://amazon.in//sspa/click?ie=UTF8&spc=MTo3MTc5ODIyMDY3Nzg4MjQ1OjE3MzUyNzgzMzg6c3BfYnRmOjMwMDE2NzM0MzQ1NDYzMjo6MDo6&url=%2FDell-Inspiron-3530-i3-1305U-Comfortview%2Fdp%2FB0C4ZM63RP%2Fref%3Dsr_1_53_sspa%3Fcrid%3D2MW5PS1STZ96S%26dib%3DeyJ2IjoiMSJ9.AMfoNDt7iHC7suJpGP8QSfqo0c5EaDaS88L4ZY2RWbZSByr7mhqqZ7Btf3PkhhYpH3rPoQo7K1OVzpYXcjdUx526gTo9U37OTE0hhwe-LBn9n8SmjV2_fbtpJBGVSjPorgareFlFKNAwLfNiL97q5PJjQNXKeExFXGvekQoIqQN_D-sM3BJu-85yhzvMLqo4wpOzU19SzZrHbSDckk20HiOunhlTEnqfQxu0XSIqlBc.LWhcj22sFsv3jX7v8fM8Z9s6jNz6p8k4BCxSCN8KgC0%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1735278338%26sprefix%3D%252Caps%252C265%26sr%3D8-53-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
6,"ASUS Vivobook Go 14 (2023), AMD Ryzen 5 7520U, 14-inch (35.56 cm) FHD, Thin & Light Laptop (8GB/512GB SSD/Windows 11/Office 2021/Alexa Built-in/Silver/1.38 kg), E1404FA-NK521WS","35,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo3MTc5ODIyMDY3Nzg4MjQ1OjE3MzUyNzgzMzg6c3BfYnRmOjMwMDE1NjE5NDY4MTQzMjo6MDo6&url=%2FASUS-Vivobook-14-inch-Windows-E1404FA-NK521WS%2Fdp%2FB0BVMM9CW5%2Fref%3Dsr_1_54_sspa%3Fcrid%3D2MW5PS1STZ96S%26dib%3DeyJ2IjoiMSJ9.AMfoNDt7iHC7suJpGP8QSfqo0c5EaDaS88L4ZY2RWbZSByr7mhqqZ7Btf3PkhhYpH3rPoQo7K1OVzpYXcjdUx526gTo9U37OTE0hhwe-LBn9n8SmjV2_fbtpJBGVSjPorgareFlFKNAwLfNiL97q5PJjQNXKeExFXGvekQoIqQN_D-sM3BJu-85yhzvMLqo4wpOzU19SzZrHbSDckk20HiOunhlTEnqfQxu0XSIqlBc.LWhcj22sFsv3jX7v8fM8Z9s6jNz6p8k4BCxSCN8KgC0%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1735278338%26sprefix%3D%252Caps%252C265%26sr%3D8-54-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
7,"Samsung Galaxy Book4 (Gray, 16GB RAM, 512GB SSD) | 15.6"" Full HD Screen | Intel Core 5 120U Processor | Windows 11 Home | MS Office 2021 | Fingerprint Reader | Intel Iris XE Graphics | RJ45 LAN Port","59,999",https://amazon.in//sspa/click?ie=UTF8&spc=MTo4NTY5MDkyNDU3ODk3NDMwOjE3MzUyNzgzNDI6c3BfYXRmX25leHQ6MzAwMzQyOTUwMjUzMDMyOjowOjo&url=%2FSamsung-Processor-Windows-Fingerprint-Graphics%2Fdp%2FB0CX4VRZJT%2Fref%3Dsr_1_33_sspa%3Fcrid%3D2MW5PS1STZ96S%26dib%3DeyJ2IjoiMSJ9.AMfoNDt7iHC7suJpGP8QSfqo0c5EaDaS88L4ZY2RWbZSByr7mhqqZ7Btf3PkhhYpH3rPoQo7K1OVzpYXcjdUx526gTo9U37OTE0hhwe-LBn9n8SmjV2_fbtpJBGVSjPorgareFlFKNAwLfNiL97q5PJjQNXKeExFXGvekQoIqQN_D-sM3BJu-85yhzvMLqo4wpOzU19SzZrHbSDckk20HiOunhlTEnqfQxu0XSIqlBc.LWhcj22sFsv3jX7v8fM8Z9s6jNz6p8k4BCxSCN8KgC0%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1735278342%26sprefix%3D%252Caps%252C265%26sr%3D8-33-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
8,"Dell [Smartchoice] Core i3-1215U, 12th Gen (8GB RAM/512GB SSD/FHD/Window 11/MS Office' 21/15""(38 cm)/15 Month McAfee/Black/1.69kg Laptop","34,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo4NTY5MDkyNDU3ODk3NDMwOjE3MzUyNzgzNDI6c3BfYXRmX25leHQ6MzAwMjA4NjE2MjQzNjMyOjowOjo&url=%2FDell-Smartchoice-i3-1215U-Processor-Spill-Resistant%2Fdp%2FB0BQJ68HHC%2Fref%3Dsr_1_34_sspa%3Fcrid%3D2MW5PS1STZ96S%26dib%3DeyJ2IjoiMSJ9.AMfoNDt7iHC7suJpGP8QSfqo0c5EaDaS88L4ZY2RWbZSByr7mhqqZ7Btf3PkhhYpH3rPoQo7K1OVzpYXcjdUx526gTo9U37OTE0hhwe-LBn9n8SmjV2_fbtpJBGVSjPorgareFlFKNAwLfNiL97q5PJjQNXKeExFXGvekQoIqQN_D-sM3BJu-85yhzvMLqo4wpOzU19SzZrHbSDckk20HiOunhlTEnqfQxu0XSIqlBc.LWhcj22sFsv3jX7v8fM8Z9s6jNz6p8k4BCxSCN8KgC0%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1735278342%26sprefix%3D%252Caps%252C265%26sr%3D8-34-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
9,"Lenovo IdeaPad Pro 5 Intel Evo Core Ultra 9 185H Built-in AI 14"" (35.5cm) 2.8K-OLED 400Nits 120Hz Laptop (32GB/1TB SSD/Intel Arc GPU/Win11/MSO 21/FHD+IR Cam/1Yr ADP Free/Grey/1.4Kg), 83D2001GIN","1,08,490",https://amazon.in//Lenovo-IdeaPad-35-56cm-2-8K-OLED-83D2001GIN/dp/B0CY2LDT1S/ref=sr_1_35?crid=2MW5PS1STZ96S&dib=eyJ2IjoiMSJ9.AMfoNDt7iHC7suJpGP8QSfqo0c5EaDaS88L4ZY2RWbZSByr7mhqqZ7Btf3PkhhYpH3rPoQo7K1OVzpYXcjdUx526gTo9U37OTE0hhwe-LBn9n8SmjV2_fbtpJBGVSjPorgareFlFKNAwLfNiL97q5PJjQNXKeExFXGvekQoIqQN_D-sM3BJu-85yhzvMLqo4wpOzU19SzZrHbSDckk20HiOunhlTEnqfQxu0XSIqlBc.LWhcj22sFsv3jX7v8fM8Z9s6jNz6p8k4BCxSCN8KgC0&dib_tag=se&keywords=laptop&qid=1735278342&sprefix=%2Caps%2C265&sr=8-35
